TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,Season,VisitPeriod,UserAvgRating,UserVisitCount,AttractionAvgRating,AttractionVisitCount,RatingDifference
3,70456,2022,10,2,640,5.0,Autumn,Shoulder_Season,5.0,1,4.302735262918624,13198,0.0
8,7567,2022,10,4,640,5.0,Autumn,Shoulder_Season,5.0,1,4.302735262918624,13198,0.0
9,79069,2022,10,3,640,5.0,Autumn,Shoulder_Season,5.0,1,4.302735262918624,13198,0.0
10,31019,2022,10,3,640,3.0,Autumn,Shoulder_Season,3.0,2,4.302735262918624,13198,0.0
15,43611,2022,10,2,640,3.0,Autumn,Shoulder_Season,3.1666666666666665,3,4.302735262918624,13198,-0.16666666666666652
18,43471,2022,10,4,640,5.0,Autumn,Shoulder_Season,5.0,2,4.302735262918624,13198,0.0
22,76492,2022,9,2,640,4.0,Autumn,Shoulder_Season,4.0,2,4.302735262918624,13198,0.0
23,20977,2022,10,4,640,5.0,Autumn,Shoulder_Season,5.0,1,4.302735262918624,13198,0.0
28,18655,2022,9,2,640,3.0,Autumn,Shoulder_Season,3.0,1,4.302735262918624,13198,0.0
29,62907,2022,9,2,640,5.0,Autumn,Shoulder_Season,4.107142857142857,14,4.302735262918624,13198,0.8928571428571432
31,86054,2022,9,2,640,5.0,Autumn,Shoulder_Season,4.666666666666667,6,4.302735262918624,13198,0.33333333333333304
33,41979,2022,9,2,640,5.0,Autumn,Shoulder_Season,5.0,1,4.302735262918624,13198,0.0
39,38726,2022,9,4,640,3.0,Autumn,Shoulder_Season,3.75,4,4.302735262918624,13198,-0.75
43,67147,2022,8,2,640,4.0,Summer,Peak_Season,4.5,4,4.302735262918624,13198,-0.5
44,2307,2022,9,2,640,4.0,Autumn,Shoulder_Season,4.0,2,4.302735262918624,13198,0.0
45,3660,2022,9,2,640,5.0,Autumn,Shoulder_Season,5.0,2,4.302735262918624,13198,0.0
46,50130,2022,9,4,640,3.0,Autumn,Shoulder_Season,3.0,1,4.302735262918624,13198,0.0
54,30450,2022,8,2,640,4.0,Summer,Peak_Season,4.0,1,4.302735262918624,13198,0.0
56,82637,2022,7,3,640,4.0,Summer,Peak_Season,4.0,1,4.302735262918624,13198,0.0
61,33716,2022,7,5,640,5.0,Summer,Peak_Season,5.0,2,4.302735262918624,13198,0.0
64,46517,2022,8,3,640,2.5,Summer,Peak_Season,2.5,1,4.302735262918624,13198,0.0
66,50127,2022,8,2,640,5.0,Summer,Peak_Season,4.0,2,4.302735262918624,13198,1.0
67,61876,2022,8,2,640,5.0,Summer,Peak_Season,5.0,1,4.302735262918624,13198,0.0
68,16769,2022,6,2,640,5.0,Summer,Peak_Season,5.0,1,4.302735262918624,13198,0.0
69,9804,2022,7,2,640,4.0,Summer,Peak_Season,3.5,5,4.302735262918624,13198,0.5
72,44419,2022,7,2,640,5.0,Summer,Peak_Season,4.0,5,4.302735262918624,13198,1.0
73,84531,2022,7,2,640,5.0,Summer,Peak_Season,5.0,1,4.302735262918624,13198,0.0
75,83915,2022,7,2,640,5.0,Summer,Peak_Season,5.0,1,4.302735262918624,13198,0.0
76,62742,2022,7,2,640,4.0,Summer,Peak_Season,4.0,1,4.302735262918624,13198,0.0
77,47615,2022,7,2,640,5.0,Summer,Peak_Season,5.0,2,4.302735262918624,13198,0.0
78,85459,2022,7,3,640,5.0,Summer,Peak_Season,5.0,1,4.302735262918624,13198,0.0
80,71946,2022,7,4,640,3.0,Summer,Peak_Season,3.0,2,4.302735262918624,13198,0.0
82,54719,2022,7,4,640,5.0,Summer,Peak_Season,5.0,2,4.302735262918624,13198,0.0
87,16291,2022,7,3,640,4.0,Summer,Peak_Season,4.0,1,4.302735262918624,13198,0.0
93,18137,2022,6,2,640,2.5,Summer,Peak_Season,2.5,1,4.302735262918624,13198,0.0
95,37338,2022,6,3,640,5.0,Summer,Peak_Season,5.0,1,4.302735262918624,13198,0.0
97,18628,2022,6,3,640,4.0,Summer,Peak_Season,4.666666666666667,3,4.302735262918624,13198,-0.666666666666667
103,47542,2022,6,5,640,3.0,Summer,Peak_Season,3.0,1,4.302735262918624,13198,0.0
105,71155,2022,6,4,640,5.0,Summer,Peak_Season,5.0,1,4.302735262918624,13198,0.0
106,73515,2022,6,2,640,5.0,Summer,Peak_Season,4.5,2,4.302735262918624,13198,0.5
111,1953,2022,5,4,640,4.0,Spring,Peak_Season,4.333333333333333,3,4.302735262918624,13198,-0.33333333333333304
112,31372,2022,5,2,640,4.0,Spring,Peak_Season,4.0,1,4.302735262918624,13198,0.0
114,35045,2022,5,2,640,5.0,Spring,Peak_Season,5.0,1,4.302735262918624,13198,0.0
116,79488,2022,4,3,640,2.5,Spring,Peak_Season,3.1666666666666665,3,4.302735262918624,13198,-0.6666666666666665
117,14186,2022,4,3,640,4.0,Spring,Peak_Season,4.0,1,4.302735262918624,13198,0.0
123,78554,2021,10,2,640,5.0,Autumn,Shoulder_Season,4.8,5,4.302735262918624,13198,0.20000000000000018
124,30511,2021,11,4,640,5.0,Autumn,Shoulder_Season,5.0,1,4.302735262918624,13198,0.0
127,50138,2021,7,4,640,5.0,Summer,Peak_Season,5.0,2,4.302735262918624,13198,0.0
132,83974,2020,10,5,640,5.0,Autumn,Shoulder_Season,5.0,1,4.302735262918624,13198,0.0
133,40006,2021,5,5,640,5.0,Spring,Peak_Season,5.0,1,4.302735262918624,13198,0.0
136,50311,2021,1,2,640,4.0,Winter,Low_Season,4.0,1,4.302735262918624,13198,0.0
138,56894,2021,1,2,640,5.0,Winter,Low_Season,4.2272727272727275,11,4.302735262918624,13198,0.7727272727272725
141,36421,2020,12,4,640,5.0,Winter,Low_Season,5.0,2,4.302735262918624,13198,0.0
143,62902,2020,1,3,640,5.0,Winter,Low_Season,4.6,5,4.302735262918624,13198,0.40000000000000036
144,61175,2020,12,2,640,5.0,Winter,Low_Season,5.0,2,4.302735262918624,13198,0.0
145,61849,2019,11,2,640,4.0,Autumn,Shoulder_Season,4.0,1,4.302735262918624,13198,0.0
150,51784,2019,10,2,640,5.0,Autumn,Shoulder_Season,5.0,3,4.302735262918624,13198,0.0
158,61709,2019,12,2,640,5.0,Winter,Low_Season,5.0,2,4.302735262918624,13198,0.0
168,64920,2020,3,2,640,4.0,Spring,Low_Season,4.214285714285714,7,4.302735262918624,13198,-0.2142857142857144
170,27538,2020,4,4,640,5.0,Spring,Peak_Season,5.0,2,4.302735262918624,13198,0.0
171,27449,2019,7,3,640,4.0,Summer,Peak_Season,4.5,2,4.302735262918624,13198,-0.5
172,64392,2020,3,2,640,5.0,Spring,Low_Season,4.75,8,4.302735262918624,13198,0.25
174,79911,2019,11,2,640,5.0,Autumn,Shoulder_Season,5.0,3,4.302735262918624,13198,0.0
176,55535,2020,3,2,640,5.0,Spring,Low_Season,5.0,1,4.302735262918624,13198,0.0
181,51283,2020,3,2,640,4.0,Spring,Low_Season,4.0,1,4.302735262918624,13198,0.0
183,73796,2020,3,4,640,4.0,Spring,Low_Season,3.5,2,4.302735262918624,13198,0.5
185,21207,2020,3,4,640,3.0,Spring,Low_Season,3.0,2,4.302735262918624,13198,0.0
187,23868,2020,3,4,640,5.0,Spring,Low_Season,5.0,1,4.302735262918624,13198,0.0
190,13954,2019,8,3,640,3.0,Summer,Peak_Season,3.0,3,4.302735262918624,13198,0.0
192,55381,2019,6,4,640,2.5,Summer,Peak_Season,2.5,1,4.302735262918624,13198,0.0
194,71073,2020,3,2,640,5.0,Spring,Low_Season,5.0,1,4.302735262918624,13198,0.0
195,113,2020,3,2,640,4.0,Spring,Low_Season,4.0,1,4.302735262918624,13198,0.0
205,16816,2020,3,2,640,5.0,Spring,Low_Season,5.0,1,4.302735262918624,13198,0.0
206,41624,2020,3,2,640,5.0,Spring,Low_Season,5.0,1,4.302735262918624,13198,0.0
207,33038,2020,3,3,640,5.0,Spring,Low_Season,4.333333333333333,3,4.302735262918624,13198,0.666666666666667
208,46031,2020,2,5,640,4.0,Winter,Low_Season,3.5,2,4.302735262918624,13198,0.5
211,81844,2020,3,2,640,5.0,Spring,Low_Season,5.0,1,4.302735262918624,13198,0.0
212,64368,2020,2,3,640,5.0,Winter,Low_Season,5.0,1,4.302735262918624,13198,0.0
213,51849,2020,3,4,640,5.0,Spring,Low_Season,5.0,2,4.302735262918624,13198,0.0
223,53252,2019,4,4,640,5.0,Spring,Peak_Season,5.0,2,4.302735262918624,13198,0.0
224,29563,2020,3,3,640,5.0,Spring,Low_Season,5.0,1,4.302735262918624,13198,0.0
225,66839,2020,2,3,640,4.0,Winter,Low_Season,4.0,1,4.302735262918624,13198,0.0
226,42947,2020,1,2,640,5.0,Winter,Low_Season,4.0,2,4.302735262918624,13198,1.0
231,77269,2020,3,2,640,4.0,Spring,Low_Season,3.5,2,4.302735262918624,13198,0.5
232,4371,2020,3,2,640,5.0,Spring,Low_Season,4.5,4,4.302735262918624,13198,0.5
233,25561,2019,6,2,640,5.0,Summer,Peak_Season,5.0,1,4.302735262918624,13198,0.0
236,16514,2020,3,2,640,3.0,Spring,Low_Season,3.0,1,4.302735262918624,13198,0.0
237,52730,2020,3,2,640,5.0,Spring,Low_Season,5.0,1,4.302735262918624,13198,0.0
238,21256,2020,3,2,640,5.0,Spring,Low_Season,5.0,1,4.302735262918624,13198,0.0
239,45191,2020,3,2,640,5.0,Spring,Low_Season,4.5,2,4.302735262918624,13198,0.5
240,81154,2020,3,2,640,4.0,Spring,Low_Season,4.0,4,4.302735262918624,13198,0.0
241,57365,2020,3,2,640,4.0,Spring,Low_Season,4.0,1,4.302735262918624,13198,0.0
242,85847,2020,3,3,640,4.0,Spring,Low_Season,4.1,10,4.302735262918624,13198,-0.09999999999999964
244,59810,2020,3,4,640,4.0,Spring,Low_Season,4.0,1,4.302735262918624,13198,0.0
246,16482,2020,1,4,640,5.0,Winter,Low_Season,5.0,1,4.302735262918624,13198,0.0
249,45653,2020,2,2,640,5.0,Winter,Low_Season,5.0,1,4.302735262918624,13198,0.0
250,70967,2020,3,5,640,5.0,Spring,Low_Season,4.666666666666667,9,4.302735262918624,13198,0.33333333333333304
252,63138,2020,2,4,640,4.0,Winter,Low_Season,4.071428571428571,14,4.302735262918624,13198,-0.07142857142857117
254,17811,2020,2,5,640,5.0,Winter,Low_Season,5.0,1,4.302735262918624,13198,0.0
258,10370,2020,2,5,640,4.0,Winter,Low_Season,4.0,1,4.302735262918624,13198,0.0
259,28567,2020,2,2,640,5.0,Winter,Low_Season,5.0,2,4.302735262918624,13198,0.0
262,43435,2020,2,5,640,4.0,Winter,Low_Season,4.0,1,4.302735262918624,13198,0.0
264,25621,2020,2,4,640,5.0,Winter,Low_Season,5.0,1,4.302735262918624,13198,0.0
266,24948,2020,2,2,640,5.0,Winter,Low_Season,5.0,1,4.302735262918624,13198,0.0
268,14459,2020,2,4,640,5.0,Winter,Low_Season,5.0,1,4.302735262918624,13198,0.0
273,57716,2020,2,4,640,3.0,Winter,Low_Season,3.0,2,4.302735262918624,13198,0.0
278,77961,2020,2,2,640,5.0,Winter,Low_Season,5.0,1,4.302735262918624,13198,0.0
